trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
9425.383563	-8868.762796	1	0.91	60	60	2700
-3431.522747	-201.929987	1	1.73	60	60	3600
-11382.076957	747.296624	1	0.76	60	60	2700
10907.200365	9911.337547	1	1.23	60	60	2700
-13408.997848	2159.049652	1	1.04	60	60	2700
-10907.241895	9422.835996	1	1.54	60	60	1800
-11733.453241	13142.662116	1	1.16	60	60	2700
14527.259647	283.346912	1	1.66	60	60	3600
-2498.371244	702.407232	1	0.45	60	60	1800
-11425.808213	2356.620797	1	0.71	60	60	1800
3279.771549	11992.862096	1	0.74	60	60	2700
-10851.643396	10333.300055	1	1.07	60	60	1800
-1363.289731	-2115.716989	1	0.82	60	60	3600
11253.032373	3467.825058	1	0.50	60	60	3600
-1724.238717	266.434164	1	1.15	60	60	3600
-10160.550420	12552.394967	1	0.57	60	60	2700
12897.294388	13243.704946	1	0.96	60	60	1800
-3834.946701	1348.427517	1	1.82	60	60	1800
-82.665779	-14009.270896	1	0.39	60	60	3600
-11877.157970	-15369.640748	1	1.38	60	60	2700
10748.274833	3470.960755	1	0.88	60	60	2700
-841.587887	3863.401009	1	0.73	60	60	2700
-2167.479710	-11486.080099	1	1.96	60	60	3600
-4522.727648	11965.030006	1	1.78	60	60	2700
-2212.342664	4911.346476	1	0.28	60	60	2700
-10397.344998	-12915.235132	1	1.26	60	60	1800
8496.592727	94.437851	1	0.54	60	60	3600
835.223390	-8529.495955	1	1.11	60	60	2700
653.985780	13776.117374	1	1.91	60	60	1800
-14958.051975	13225.746965	1	1.39	60	60	1800
4342.943594	11679.292403	1	1.97	60	60	1800
-15545.547973	94.437851	1	0.20	60	60	2700
15615.827383	-1036.347836	1	0.22	60	60	2700
5461.039272	11563.805352	1	0.66	60	60	2700
12551.171669	187.508005	1	1.09	60	60	2700
2908.502319	7312.667634	1	0.96	60	60	1800
-12177.960905	408.841506	1	0.66	60	60	1800
-2397.951322	2185.514044	1	1.85	60	60	1800
8442.821555	3354.539667	1	1.49	60	60	2700
