id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_40mile_square,outside_25mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,WinMart+,C,Siêu thị,Thanh Xuân,20.9783869,105.8364337,-889.399481,154.216244,1,1.55,60,60,2700,3102.100,2922.300,True,14.25,reality.1000.1,915,true,false
2,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9948518,105.9724608,13233.667903,1985.029591,1,1.25,60,60,2700,17815.000,22139.300,True,2.827,reality.1000.1,280,true,false
3,Đảng uỷ - HĐND - UBND phường Thanh Xuân [SE],SE,Uỷ ban nhân dân,Thanh Xuân,20.8805718,105.9267271,8485.348437,-10722.326625,1,1.91,60,60,1800,19789.400,19733.900,True,0.456,reality.1000.1,395,true,false
4,Cửa Hàng Tiện Lợi BV Mart [E],E,Siêu thị,Thanh Xuân,20.9730303,105.9230904,8107.766623,-441.410500,1,1.31,60,60,3600,14507.300,16114.200,True,6.626,reality.1000.1,342,true,false
5,Trường Trung học cơ sở Yên Mỹ [N],N,Trường học,Hoàng Mai,21.0497070,105.8825970,3903.523375,8084.649532,1,1.18,60,60,1800,12775.600,13161.000,True,18.266,reality.1000.1,81,true,false
6,Công Ty TNHH Syopex Việt Nam,,office:yes,,21.1863208,105.7756936,-7203.858234,23301.591456,1,0.92,60,60,2700,33463.890,33463.890,true,,openstreetmap_25_40_ring,node:4715929089,true,true
7,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0867944,105.8501057,530.101319,12208.580254,1,1.46,60,60,2700,21734.200,22434.100,True,101.552,reality.1000.1,8,true,false
8,Taste Tea [SE],SE,Cửa hàng đồ uống,Thanh Xuân,20.8975785,105.9639148,12346.376078,-8831.267867,1,1.30,60,60,2700,23719.100,27276.100,True,25.598,reality.1000.1,377,true,false
9,WinMart+ [W],W,Siêu thị,Thanh Xuân,21.0063803,105.7124948,-13757.404725,3266.940303,1,1.37,60,60,3600,18713.800,18104.400,True,12.694,reality.1000.1,752,true,false
10,Trường Mầm non Lĩnh Nam (cơ sở 2) [SW],SW,Trường học,Hoàng Mai,20.8722606,105.7816386,-6578.522381,-11646.489900,1,0.77,60,60,1800,18972.400,18901.100,True,47.257,reality.1000.1,619,true,false
11,Cục Sở hữu Trí tuệ [E],E,Uỷ ban nhân dân,Thanh Xuân,20.9878339,105.9324939,9084.088725,1204.674716,1,0.69,60,60,1800,13957.400,15313.200,True,21.049,reality.1000.1,330,true,false
12,Trường mầm non Vườn Hồng [NE],NE,Trường học,Hoàng Mai,21.0849401,105.9709930,13081.272988,12002.391502,1,1.67,60,60,1800,22219.700,24109.700,True,108.844,reality.1000.1,123,true,false
13,Không có tên,,shop:convenience,,20.7660675,105.7530903,-9553.294488,-23481.005900,1,0.52,60,60,3600,34781.419,34781.419,true,,openstreetmap_25_40_ring,node:5745157621,true,true
14,Chùa Khai Nghiêm,,amenity:place_of_worship,,21.2281596,105.9476075,10665.247131,27959.086672,1,1.23,60,60,2700,41057.429,41057.429,true,,openstreetmap_25_40_ring,node:5618029543,true,true
15,Cửa hàng xăng dầu công ty TNHH thiết bị điện Sơn Quang Huy,,amenity:fuel,Thị xã Quế Võ,21.1568383,106.1326672,29900.755592,20019.599556,1,1.05,60,60,2700,49371.590,49371.590,true,,openstreetmap_25_40_ring,node:993196695,true,true
16,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0823370,105.8315470,-1396.763039,11712.939988,1,0.80,60,60,3600,15815.000,15084.000,True,341.784,reality.1000.1,36,true,false
17,WinMart+ [NE],NE,Siêu thị,Hoàng Mai,21.0582097,105.9751068,13508.389898,9030.106634,1,0.91,60,60,2700,20100.900,22000.800,True,17.304,reality.1000.1,149,true,false
18,Tịnh Cafe,C,Cửa hàng đồ uống,Thanh Xuân,21.0034874,105.8107186,-3559.279895,2945.264500,1,1.70,60,60,1800,7478.200,6824.700,True,10.958,reality.1000.1,986,true,false
19,siêu thị 24h ninja mark [E],E,Siêu thị,Thanh Xuân,20.9768912,105.9369476,9546.495886,-12.098008,1,0.46,60,60,2700,14884.000,16477.500,True,83.884,reality.1000.1,308,true,false
20,Siêu Thị T-Mart,C,Siêu thị,Thanh Xuân,20.9713145,105.8361596,-917.858022,-632.198755,1,0.53,60,60,1800,2268.200,2078.100,True,24.23,reality.1000.1,904,true,false
21,Không có tên,,amenity:place_of_worship,,20.6964917,105.9706417,13059.472070,-31226.183956,1,0.72,60,60,1800,46439.791,46439.791,true,,openstreetmap_25_40_ring,node:4617925890,true,true
22,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8789786,105.9635518,12308.687459,-10899.482383,1,0.78,60,60,3600,29941.900,29716.300,True,39.527,reality.1000.1,365,true,false
