trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
11508.696336	24219.614100	1	1.93	60	60	2700
-24002.036934	-466.330612	1	1.17	60	60	1800
13203.070559	12593.492612	1	0.40	60	60	1800
-7212.127236	10425.714159	1	1.47	60	60	2700
-1113.869985	-14130.806951	1	1.75	60	60	3600
-11733.453241	-10899.482383	1	1.76	60	60	1800
281.049258	20309.810796	1	0.84	60	60	3600
-12217.466467	9231.758634	1	0.80	60	60	2700
-14285.699483	11145.545636	1	1.09	60	60	2700
20576.165080	20877.075252	1	1.25	60	60	2700
-4522.727648	11965.030006	1	1.78	60	60	3600
22643.304770	22724.530840	1	1.10	60	60	1800
-3379.018244	12649.156792	1	0.95	60	60	3600
-731.190344	-11836.066130	1	1.82	60	60	2700
429.255713	-3112.968688	1	0.52	60	60	3600
17039.585024	-937.350993	1	0.95	60	60	1800
-886.783081	-9149.229759	1	0.43	60	60	3600
-3578.248795	-8666.532583	1	1.53	60	60	3600
31338.982734	19740.442392	1	1.41	60	60	3600
12616.332487	14377.693047	1	1.22	60	60	1800
-388.130474	-325.967927	1	1.19	60	60	2700
12028.500779	23840.369124	1	1.45	60	60	3600
12308.687459	-10899.482383	1	0.78	60	60	2700
-15400.088595	628.084543	1	1.42	60	60	1800
-889.399481	154.216244	1	1.55	60	60	3600
22108.085702	21981.425312	1	0.54	60	60	1800
17781.274223	24237.013416	1	1.79	60	60	1800
22870.408037	22271.848060	1	1.21	60	60	1800
-13908.055374	95.616517	1	0.54	60	60	2700
-13352.547980	12049.882855	1	0.34	60	60	3600
23598.959558	1493.591572	1	1.91	60	60	1800
-10960.867712	-12039.752997	1	1.97	60	60	3600
-3028.005349	234.543459	1	1.28	60	60	1800
-25677.584859	22742.453360	1	0.63	60	60	2700
-257.185886	-13414.989611	1	1.57	60	60	3600
2726.704053	-3828.152218	1	0.36	60	60	1800
143.912380	8672.503750	1	1.37	60	60	3600
2.533340	-1014.175567	1	1.82	60	60	3600
-8127.472683	-4501.748844	1	0.73	60	60	2700
-10907.241895	-2598.236253	1	1.32	60	60	3600
6982.372020	15226.299368	1	1.49	60	60	1800
13462.955905	15001.485465	1	0.95	60	60	1800
15441.359073	-27971.732624	1	1.46	60	60	2700
-3334.373325	1208.588777	1	1.31	60	60	3600
-12740.289626	-1692.876041	1	0.77	60	60	2700
-1323.784168	1082.438133	1	1.55	60	60	1800
653.985780	-10266.027124	1	1.03	60	60	3600
29770.443282	-6459.420924	1	1.89	60	60	3600
-8741.298801	11992.862096	1	1.38	60	60	3600
-3128.477184	1904.991483	1	1.46	60	60	3600
-8117.546976	-3936.422718	1	1.39	60	60	2700
2506.189296	-11737.725337	1	1.07	60	60	1800
17021.457110	-62.091247	1	1.89	60	60	2700
-1231.057708	13532.989667	1	1.69	60	60	3600
-13982.653920	1231.394857	1	0.31	60	60	2700
-1396.763039	11712.939988	1	0.80	60	60	2700
-719.219276	-13713.948290	1	0.96	60	60	2700
22249.842046	21755.111752	1	0.33	60	60	2700
17973.234888	302.261169	1	1.52	60	60	1800
-13252.128058	1511.917418	1	1.16	60	60	1800
21188.124659	-8715.242800	1	0.57	60	60	3600
-11242.307210	11021.507695	1	0.79	60	60	1800
20910.536675	-9699.244808	1	1.93	60	60	3600
-10397.344998	-12915.235132	1	1.26	60	60	1800
3189.671872	9717.858375	1	1.78	60	60	3600
28849.505182	-4252.023248	1	1.51	60	60	1800
4294.145658	216.329730	1	0.37	60	60	3600
21849.155340	21812.118724	1	0.89	60	60	3600
-9514.881054	283.346912	1	0.98	60	60	2700
3807.920951	-13806.429111	1	1.73	60	60	2700
10907.200365	-2109.734702	1	0.57	60	60	3600
11763.884464	-1393.917361	1	1.13	60	60	3600
-8168.784664	-24114.227456	1	1.71	60	60	1800
-1249.559394	-1314.602020	1	1.30	60	60	1800
-9882.682515	-4778.746526	1	0.30	60	60	2700
11134.287269	-9149.229759	1	1.42	60	60	1800
15615.827383	-1036.347836	1	0.22	60	60	2700
1860.519930	12552.394967	1	1.20	60	60	1800
25608.931050	-14122.155388	1	1.89	60	60	2700
876.224038	13243.704946	1	1.16	60	60	1800
20422.528145	24986.286072	1	1.88	60	60	3600
-16544.462480	-11249.746402	1	1.46	60	60	3600
-31542.854924	29912.919652	1	1.31	60	60	3600
-29550.023497	-3243.586500	1	0.65	60	60	1800
-23523.268863	-520.487792	1	1.14	60	60	2700
-13959.729273	2615.582662	1	0.87	60	60	3600
-5038.698331	15226.299368	1	1.05	60	60	2700
7627.636467	-977.281091	1	0.65	60	60	2700
-20903.125598	5047.382384	1	0.96	60	60	1800
10284.735975	3266.940303	1	1.52	60	60	3600
-20187.535667	134.997764	1	1.20	60	60	3600
-28591.104925	-9443.587296	1	0.30	60	60	2700
-13698.546109	818.450258	1	1.42	60	60	3600
-5777.571754	-12387.226023	1	0.72	60	60	2700
7189.431005	7211.369056	1	1.05	60	60	1800
22253.594359	22990.463188	1	1.00	60	60	3600
11824.674233	9231.758634	1	0.40	60	60	1800
22649.624455	21855.700504	1	1.99	60	60	3600
504.695245	-13855.688463	1	1.85	60	60	2700
-27738.914182	-7716.045612	1	1.46	60	60	3600
-15556.792263	13319.817873	1	1.23	60	60	2700
-15036.543974	15548.486668	1	0.27	60	60	2700
-29416.676076	31271.012520	1	1.33	60	60	1800
1339.295682	956.943539	1	1.54	60	60	2700
-13161.311985	-2660.649966	1	0.85	60	60	1800
-16414.504234	11043.791158	1	0.81	60	60	2700
7798.678422	-9105.296644	1	0.70	60	60	1800
12308.687459	1121.589867	1	0.91	60	60	2700
3594.757033	10984.724413	1	1.19	60	60	2700
-9112.568031	-16729.476865	1	0.48	60	60	1800
-11144.846312	13243.704946	1	1.68	60	60	1800
15842.582045	-112.317995	1	1.70	60	60	1800
-662.198369	-1161.019588	1	0.52	60	60	3600
7798.678422	14936.847855	1	1.92	60	60	3600
-5067.271079	1229.771411	1	0.69	60	60	3600
13059.472070	-31226.183956	1	1.21	60	60	3600
-7632.287845	286.938508	1	0.26	60	60	1800
-1272.795517	15492.033004	1	1.94	60	60	3600
-15545.547973	12115.510100	1	1.71	60	60	1800
-1886.112890	-1019.279415	1	0.48	60	60	1800
-1677.475759	-11202.621992	1	0.62	60	60	3600
-11877.157970	-15369.640748	1	1.38	60	60	1800
23250.898778	-25091.784036	1	1.41	60	60	3600
11938.404571	10032.873602	1	0.39	60	60	1800
20199.249950	23958.479644	1	1.56	60	60	1800
-15649.721565	29382.168156	1	1.37	60	60	2700
10082.411428	-9405.489587	1	1.45	60	60	2700
-8831.398479	-2303.213874	1	1.70	60	60	1800
273.638180	30821.235192	1	1.78	60	60	2700
21016.983861	21492.452212	1	0.71	60	60	3600
-6560.031078	11563.805352	1	1.83	60	60	2700
17463.618320	374.582349	1	0.79	60	60	1800
-12103.736130	-1988.198647	1	1.73	60	60	3600
9756.441218	11145.545636	1	1.98	60	60	3600
7497.678220	-11249.746402	1	1.14	60	60	3600
3903.523375	8084.649532	1	1.18	60	60	2700
-6643.578706	26687.545104	1	0.54	60	60	1800
-7678.126756	-341.779846	1	1.25	60	60	3600
-3834.946701	1348.427517	1	1.82	60	60	2700
-1231.057708	-10509.154832	1	1.27	60	60	3600
-196.396117	9231.758634	1	1.80	60	60	1800
-14413.456631	14292.740123	1	1.52	60	60	1800
-3197.988286	-9033.687111	1	1.45	60	60	3600
897.560157	7691.686661	1	1.11	60	60	2700
-7740.037839	-13512.351888	1	1.97	60	60	1800
10689.592720	12049.882855	1	1.19	60	60	1800
-12278.256236	-13414.989611	1	0.22	60	60	3600
-10579.184795	2980.413216	1	0.33	60	60	2700
11981.882712	25475.170116	1	0.82	60	60	2700
-16243.462278	14936.847855	1	0.55	60	60	3600
12346.376078	15210.876632	1	1.12	60	60	1800
13203.070559	572.420363	1	1.78	60	60	3600
22164.058566	-14527.660752	1	1.74	60	60	2700
-30280.071785	-13685.335708	1	1.29	60	60	2700
10082.411428	2615.582662	1	0.40	60	60	1800
-16973.780489	459.857739	1	1.32	60	60	2700
2908.502319	7312.667634	1	0.96	60	60	1800
-13300.822169	10839.426003	1	0.25	60	60	2700
7798.678422	2915.775605	1	1.38	60	60	3600
-13293.865867	-8550.111494	1	1.35	60	60	1800
1741.608705	-4034.807989	1	0.29	60	60	2700
7068.360212	-11561.214511	1	0.54	60	60	2700
-32045.332205	-1692.130792	1	1.64	60	60	1800
11176.554587	-9886.696752	1	1.67	60	60	2700
3355.346054	-13526.951782	1	0.80	60	60	1800
-14560.463008	1704.584867	1	0.78	60	60	3600
15924.593725	-3936.422718	1	0.59	60	60	2700
11289.880006	-11836.066130	1	1.54	60	60	2700
-6841.650923	20173.321344	1	1.17	60	60	3600
21712.959903	-1674.853928	1	1.39	60	60	1800
-527.900221	1420.893251	1	0.67	60	60	3600
71.597992	14235.963993	1	1.81	60	60	2700
-557.345103	-12428.234712	1	1.82	60	60	3600
23863.097423	22251.743668	1	1.45	60	60	3600
-10851.643396	-1687.772194	1	1.33	60	60	3600
500.398438	28192.725088	1	1.29	60	60	1800
5952.164538	12323.333418	1	1.16	60	60	2700
-14560.463008	13725.657116	1	1.85	60	60	1800
24073.382846	-3860.332696	1	1.41	60	60	3600
11554.337347	24679.744188	1	1.68	60	60	3600
3279.771549	-12049.282402	1	0.51	60	60	2700
8860.831692	21569.318672	1	1.43	60	60	1800
-14060.678704	13924.762752	1	1.52	60	60	2700
22808.406527	22872.185688	1	1.75	60	60	3600
13881.590280	531.322718	1	1.60	60	60	2700
-4522.727648	-12077.114492	1	1.88	60	60	3600
-1469.523875	-2986.595654	1	1.51	60	60	2700
6944.158700	-25632.509804	1	1.45	60	60	2700
-13908.055374	12116.688767	1	0.82	60	60	1800
-1022.981234	-2674.971872	1	1.81	60	60	2700
12856.293740	3491.576294	1	0.57	60	60	3600
-15219.058636	15008.457387	1	1.01	60	60	2700
-12241.906965	13177.332694	1	1.67	60	60	2700
-30864.611417	30984.953516	1	0.36	60	60	3600
10907.200365	9911.337547	1	1.23	60	60	2700
7517.882642	3408.302414	1	0.50	60	60	3600
-21201.907392	5203.887172	1	0.31	60	60	1800
6721.458802	-16472.827854	1	0.49	60	60	1800
-1891.418368	2144.705506	1	1.77	60	60	1800
14177.554951	-4243.142803	1	1.52	60	60	1800
-7020.683590	-62.091247	1	0.93	60	60	3600
14929.572670	7312.667634	1	1.03	60	60	1800
-15710.464230	14868.129390	1	1.45	60	60	2700
15914.668017	-4501.748844	1	1.59	60	60	2700
8442.821555	-8666.532583	1	0.76	60	60	1800
-11185.846960	3491.576294	1	1.47	60	60	3600
-11242.307210	-999.564554	1	1.77	60	60	1800
-879.276505	1795.186493	1	0.44	60	60	1800
26154.866557	717.858152	1	0.85	60	60	1800
-11490.969031	-11833.564244	1	1.25	60	60	1800
277.494133	11501.691866	1	0.79	60	60	3600
-9882.682515	-16799.818775	1	0.87	60	60	3600
15100.780746	12565.660522	1	1.80	60	60	1800
11800.233735	-10864.811804	1	1.15	60	60	2700
11800.233735	13177.332694	1	1.95	60	60	3600
20194.000870	23963.355460	1	1.09	60	60	2700
-257.185886	10627.154888	1	1.68	60	60	3600
-13757.404725	3266.940303	1	1.37	60	60	1800
-9911.011497	24948.192368	1	0.61	60	60	1800
2156.484601	7777.929446	1	0.87	60	60	2700
-10424.921023	-3786.565315	1	0.57	60	60	3600
-20953.922141	20647.522280	1	1.37	60	60	3600
-13134.940335	-2109.734702	1	1.53	60	60	3600
-8125.814967	-29750.559432	1	0.78	60	60	2700
-11733.453241	1121.589867	1	0.46	60	60	2700
-4523.392130	12792.398097	1	1.11	60	60	2700
-7284.891557	23324.968656	1	1.17	60	60	1800
3079.710396	12565.660522	1	0.72	60	60	1800
-12177.960905	408.841506	1	0.66	60	60	2700
-6494.484045	26862.940896	1	0.73	60	60	3600
-10851.643396	10333.300055	1	1.07	60	60	2700
30624.245129	19813.123220	1	0.69	60	60	3600
24217.613013	10126.157008	1	0.98	60	60	1800
13462.955905	2980.413216	1	0.54	60	60	1800
-12217.466467	-14810.385865	1	1.53	60	60	3600
-106.690976	654.915879	1	1.58	60	60	2700
7908.037711	-10496.934509	1	1.79	60	60	3600
15210.742222	-2303.213874	1	1.20	60	60	1800
5049.812488	27763.953844	1	0.35	60	60	1800
8107.766623	11579.661749	1	1.50	60	60	3600
-4503.187708	-8612.769836	1	1.38	60	60	3600
-2053.676695	3545.439117	1	1.06	60	60	1800
9425.383563	-8868.762796	1	0.91	60	60	2700
-15400.088595	12649.156792	1	1.98	60	60	1800
3079.710396	-11476.483976	1	0.68	60	60	3600
4388.782506	12308.010757	1	0.57	60	60	3600
-1272.795517	-8550.111494	1	1.13	60	60	3600
1441.885555	15001.485465	1	1.56	60	60	3600
18125.069146	-671.550640	1	0.63	60	60	2700
7184.302030	9685.912073	1	0.35	60	60	2700
11042.318173	27904.116856	1	0.59	60	60	2700
3355.346054	10515.192716	1	1.22	60	60	3600
-10417.040676	-12377.474228	1	0.46	60	60	2700
17973.234888	12323.333418	1	1.78	60	60	3600
-11123.510193	7691.686661	1	0.26	60	60	3600
-3641.468078	661.498619	1	1.82	60	60	3600
1182.000209	-11448.651886	1	1.85	60	60	2700
16409.852856	12308.010757	1	1.38	60	60	2700
29498.374628	-11660.669812	1	0.77	60	60	2700
-8213.149399	-1785.356862	1	0.85	60	60	1800
-12217.466467	-2789.313615	1	1.93	60	60	1800
27484.401363	20852.874284	1	1.79	60	60	1800
11296.545596	13492.181129	1	1.52	60	60	2700
12092.668343	14235.963993	1	1.37	60	60	1800
-7002.555676	-937.350993	1	1.88	60	60	3600
13644.795702	-894.162883	1	1.50	60	60	1800
-10089.056253	-11988.236387	1	0.27	60	60	3600
-10424.921023	-15807.637564	1	0.79	60	60	1800
-13882.182085	-439.053168	1	1.14	60	60	2700
5442.547969	-11646.489900	1	1.04	60	60	3600
-4836.768320	-14356.232426	1	1.63	60	60	3600
8268.829011	21291.630932	1	1.53	60	60	2700
-2039.608354	-10117.381747	1	1.06	60	60	3600
28928.584392	-12469.443008	1	0.73	60	60	2700
-1140.241635	-14681.722215	1	1.07	60	60	3600
478.404273	28116.593340	1	1.00	60	60	2700
26666.916913	26878.536828	1	0.54	60	60	1800
18742.529152	7569.316644	1	0.56	60	60	2700
-13151.637600	25529.995216	1	1.39	60	60	2700
-10960.867712	12002.391502	1	0.25	60	60	2700
-3197.988286	15008.457387	1	1.53	60	60	2700
-13959.729273	14636.654911	1	1.13	60	60	2700
71.597992	-9806.180505	1	1.59	60	60	2700
23445.218681	22117.102128	1	0.95	60	60	2700
-2844.369373	1492.046884	1	0.25	60	60	3600
-11877.157970	-3348.568499	1	0.60	60	60	1800
24596.284766	24265.032660	1	1.56	60	60	1800
-1938.658922	-9405.489587	1	1.77	60	60	2700
-3732.438917	-28298.712860	1	1.32	60	60	3600
1234.885057	21442.514060	1	1.04	60	60	1800
15689.749698	-22925.830796	1	0.85	60	60	3600
26317.328183	-18657.109548	1	0.29	60	60	1800
15209.651167	-23240.398852	1	1.50	60	60	3600
1623.725352	11126.909366	1	1.69	60	60	1800
