id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_20mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,
1,Chợ Nhân Chính [SW],SW,Chợ dân sinh,Thanh Xuân,20.8842216,105.7047601,-14560.463008,-10316.487382,1,0.79,60,60,2700,25063.600,25053.800,True,27.412,reality.1000.1,620,true
2,Thuế cơ sở 4 thành phố Hà Nội [SW],SW,Uỷ ban nhân dân,Thanh Xuân,20.9001070,105.7169594,-13293.865867,-8550.111494,1,1.35,60,60,3600,22322.300,22303.200,True,40.781,reality.1000.1,628,true
3,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp (cơ sở 218 Lĩnh Nam) [W],W,Trường học,Hoàng Mai,20.9739263,105.7710477,-7678.126756,-341.779846,1,1.25,60,60,1800,10985.300,10785.900,True,9.477,reality.1000.1,708,true
4,Cục Tần số vô tuyến điện [S],S,Uỷ ban nhân dân,Thanh Xuân,20.8944961,105.8094654,-3689.393880,-9174.015108,1,0.49,60,60,2700,12714.400,12846.800,True,22.703,reality.1000.1,527,true
5,WinMart+ [E],E,Siêu thị,Thanh Xuân,20.9939432,105.9316711,8998.661190,1883.997881,1,0.76,60,60,1800,13305.400,15969.400,True,13.984,reality.1000.1,340,true
6,Trường Mầm non Tứ Hiệp (điểm Đồng Trì) [NE],NE,Trường học,Hoàng Mai,21.0427644,105.9887950,14929.572670,7312.667634,1,1.03,60,60,2700,22132.300,24032.100,True,21.552,reality.1000.1,205,true
7,Không có tên [W],W,Cửa hàng đồ uống,Thanh Xuân,21.0084005,105.7372629,-11185.846960,3491.576294,1,1.47,60,60,2700,16800.600,15174.500,True,2.317,reality.1000.1,735,true
8,WinMart+ [S],S,Siêu thị,Hoàng Mai,20.8545445,105.8913176,4808.943114,-13616.430340,1,0.41,60,60,3600,15953.200,15897.700,True,64.808,reality.1000.1,482,true
9,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8860122,105.7095738,-14060.678704,-10117.381747,1,1.63,60,60,2700,24933.400,24923.600,True,13.841,reality.1000.1,613,true
10,9.0cafe [W],W,Cửa hàng đồ uống,Thanh Xuân,21.0087228,105.7001747,-15036.543974,3527.414419,1,1.16,60,60,2700,19316.100,19063.300,True,2.217,reality.1000.1,767,true
11,Trường Mầm non Định Công (Cơ sở 3) [E],E,Trường học,Hoàng Mai,20.9733383,105.9554135,11463.725247,-407.162463,1,0.76,60,60,3600,20520.000,22829.300,True,31.83,reality.1000.1,258,true
12,Highlands Coffee [S],S,Cửa hàng đồ uống,Hoàng Mai,20.8510116,105.8442038,-82.665779,-14009.270896,1,0.39,60,60,3600,18819.000,16705.400,True,69.157,reality.1000.1,432,true
