trucks_count 5
drones_count 5
customers 200
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-14188.550061	534.992151	1	1.86	60	60	3600
9084.088725	-10816.397533	1	1.77	60	60	3600
-2577.247397	3465.612279	1	0.35	60	60	1800
7627.636467	11043.791158	1	1.42	60	60	3600
15376.416404	10515.192716	1	1.62	60	60	2700
-12217.466467	-14810.385865	1	1.53	60	60	3600
12551.171669	187.508005	1	1.09	60	60	1800
-4709.872922	2564.021575	1	1.59	60	60	1800
15828.991301	-1785.356862	1	0.68	60	60	1800
-11367.084570	13776.117374	1	0.97	60	60	3600
-4222.391928	14936.847855	1	1.03	60	60	3600
-4523.392130	-11249.746402	1	1.58	60	60	3600
-3542.979308	-10130.647301	1	1.61	60	60	2700
-13408.997848	14180.121901	1	0.40	60	60	3600
13462.955905	-9040.659033	1	0.91	60	60	3600
-12740.289626	-1692.876041	1	0.77	60	60	2700
11674.688067	15010.470016	1	0.25	60	60	3600
-12323.700611	-3660.192281	1	1.88	60	60	1800
9425.383563	-8868.762796	1	0.91	60	60	3600
6103.998796	11349.521609	1	1.36	60	60	2700
13462.955905	2980.413216	1	0.54	60	60	2700
1623.725352	-12915.235132	1	0.86	60	60	1800
11763.884464	-1393.917361	1	1.13	60	60	1800
-12367.452633	-9031.674483	1	1.32	60	60	2700
13190.497304	-1687.772194	1	1.96	60	60	2700
-10121.439394	-15400.697491	1	1.12	60	60	2700
-8741.298801	11992.862096	1	1.38	60	60	3600
-10732.431078	14452.227006	1	1.60	60	60	3600
-14285.699483	11145.545636	1	1.09	60	60	1800
-12919.513023	-639.148438	1	0.71	60	60	1800
-10397.344998	-12915.235132	1	1.26	60	60	2700
10880.828715	-2660.649966	1	0.89	60	60	2700
78.554294	3170.045044	1	1.94	60	60	1800
7068.360212	459.857739	1	1.57	60	60	3600
-12177.960905	12429.913755	1	0.56	60	60	1800
-12864.599772	-12909.730983	1	1.19	60	60	1800
-13908.055374	95.616517	1	0.54	60	60	2700
-15043.479510	-10137.074368	1	0.92	60	60	1800
10059.486780	-10789.677393	1	1.36	60	60	2700
-2264.629133	11145.545636	1	1.50	60	60	3600
13920.701307	-3379.625242	1	0.77	60	60	1800
13617.219677	8234.506934	1	0.61	60	60	3600
-2010.423035	-215.062108	1	1.44	60	60	1800
693.626316	1204.919345	1	1.17	60	60	2700
3079.710396	12565.660522	1	0.72	60	60	3600
-10851.643396	-1687.772194	1	1.33	60	60	2700
-1736.334375	15288.012552	1	0.59	60	60	2700
-10397.344998	11126.909366	1	0.81	60	60	1800
-844.515763	-9886.696752	1	0.57	60	60	1800
12575.830201	9463.566697	1	0.31	60	60	3600
8998.661190	13905.070130	1	0.56	60	60	1800
-8127.472683	-4501.748844	1	0.73	60	60	2700
-14616.757137	15173.381703	1	1.09	60	60	3600
4275.654355	1048.178976	1	0.29	60	60	1800
14929.572670	-4708.404615	1	0.30	60	60	3600
-14689.123437	674.830890	1	1.60	60	60	3600
4281.032511	-13512.351888	1	1.90	60	60	3600
-14560.463008	-10316.487382	1	0.79	60	60	1800
-11772.034758	-13326.867631	1	1.25	60	60	3600
-5067.271079	1229.771411	1	0.69	60	60	3600
-8199.558655	-12133.390245	1	1.08	60	60	1800
-512.907834	2428.641751	1	1.56	60	60	2700
11296.545596	13492.181129	1	1.52	60	60	3600
-1677.475759	-11202.621992	1	0.62	60	60	3600
-15219.058636	15008.457387	1	1.01	60	60	1800
-3105.552537	3289.179289	1	0.45	60	60	2700
-15710.464230	-9174.015108	1	0.33	60	60	2700
-7678.126756	-12362.852095	1	1.36	60	60	3600
12824.128633	8692.841302	1	0.62	60	60	2700
10610.716567	-9229.056597	1	0.86	60	60	3600
11253.032373	15488.897307	1	0.52	60	60	2700
3355.346054	-13526.951782	1	0.80	60	60	3600
-10960.867712	-18.680748	1	0.61	60	60	1800
11409.165002	9836.091941	1	1.15	60	60	3600
11938.404571	-1988.198647	1	1.77	60	60	1800
12346.376078	3189.804383	1	1.89	60	60	3600
1182.000209	-11448.651886	1	1.85	60	60	3600
456.831738	-220.566256	1	1.20	60	60	1800
-11695.764623	-8831.267867	1	0.59	60	60	1800
13953.084447	12053.908111	1	0.82	60	60	1800
-13161.311985	-2660.649966	1	0.85	60	60	2700
7497.678220	771.325848	1	0.29	60	60	2700
-346.382283	15010.470016	1	1.20	60	60	3600
-844.515763	14155.447747	1	0.26	60	60	1800
8485.348437	13319.817873	1	1.45	60	60	2700
8120.692885	-11464.897465	1	1.48	60	60	1800
-53.065159	-1924.639627	1	1.35	60	60	1800
1487.319548	9030.106634	1	1.26	60	60	1800
-1677.475759	12839.522507	1	1.73	60	60	3600
-14560.463008	1704.584867	1	0.78	60	60	2700
-50.926356	11937.720532	1	1.25	60	60	3600
-557.345103	-12428.234712	1	1.82	60	60	3600
-13757.404725	15288.012552	1	0.63	60	60	2700
3807.920951	10235.715387	1	1.28	60	60	2700
-15036.543974	-8493.657830	1	1.79	60	60	2700
-7212.127236	10425.714159	1	1.47	60	60	2700
11409.165002	-2184.980309	1	0.30	60	60	2700
9353.017263	-11346.241359	1	0.30	60	60	1800
-10839.070141	572.420363	1	1.73	60	60	3600
-3022.409160	13905.070130	1	0.66	60	60	1800
13134.898805	-2598.236253	1	0.32	60	60	3600
325.305728	15210.876632	1	0.43	60	60	1800
-13698.546109	12839.522507	1	0.80	60	60	3600
-12177.960905	408.841506	1	0.66	60	60	1800
-12241.906965	13177.332694	1	1.67	60	60	2700
15828.991301	10235.715387	1	1.94	60	60	3600
-768.037977	15488.897307	1	1.32	60	60	3600
