id,name,zone,type,district,lat,lon,x_m,y_m,dronable,demand,drone_service_s,truck_service_s,lw_s,depot_osrm_distance_m,to_depot_osrm_distance_m,road_reachable,osrm_snap_distance_m,source_dataset,original_id,inside_40mile_square,outside_25mile_square
0,depot,,depot,Thanh Xuân - Hoàng Mai,20.977,105.845,0.000000,0.000000,,,,,,,,,,depot,0,,
1,Không có tên [W],W,Trường học,Hoàng Mai,20.9573500,105.7233248,-12632.975698,-2184.980309,1,0.58,60,60,1800,18824.700,18332.600,True,51.397,reality.1000.1,684,true,false
2,Không có tên,,amenity:fuel,,21.2558200,106.1225543,28849.598730,31038.242400,1,1.12,60,60,2700,57827.591,57827.591,true,,openstreetmap_25_40_ring,node:8339162583,true,true
3,Trường Tiểu học Hoàng Liệt,C,Trường học,Hoàng Mai,20.9665587,105.8386220,-662.198369,-1161.019588,1,0.52,60,60,1800,2096.100,3332.700,True,36.73,reality.1000.1,901,true,false
4,WinMart+ [NE],NE,Siêu thị,Thanh Xuân,21.0867944,105.9658873,12551.171669,12208.580254,1,1.69,60,60,1800,21627.800,23855.700,True,29.147,reality.1000.1,127,true,false
5,The Coffee House [NE],NE,Cửa hàng đồ uống,Thanh Xuân,21.0796323,105.9147526,7242.091245,11412.191070,1,0.98,60,60,3600,17116.000,18365.100,True,22.369,reality.1000.1,232,true,false
6,Hội đồng nhân dân - Ủy ban nhân dân phường Thanh Liệt [NW],NW,Uỷ ban nhân dân,Thanh Xuân,21.0821695,105.7013053,-14919.158982,11694.314838,1,1.94,60,60,2700,22558.500,22062.100,True,227.442,reality.1000.1,852,true,false
7,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.1063017,105.8507333,595.262137,14377.693047,1,0.82,60,60,1800,20380.500,20871.900,True,2.614,reality.1000.1,48,true,false
8,Petrolimex – Cửa hàng số 9,,amenity:fuel,Thành phố Bắc Ninh,21.1715739,106.0954358,26030.842749,21659.966548,1,1.90,60,60,3600,46212.310,46212.310,true,,openstreetmap_25_40_ring,node:993196881,true,true
9,Trường Tiểu học Tam Hiệp [E],E,Trường học,Hoàng Mai,20.9440831,105.9578668,11718.440089,-3660.192281,1,1.35,60,60,1800,19979.800,22321.800,True,4.614,reality.1000.1,299,true,false
10,Co.opmart [S],S,Siêu thị,Thanh Xuân,20.8683879,105.8014391,-4522.727648,-12077.114492,1,1.88,60,60,3600,19205.100,19308.600,True,80.07,reality.1000.1,523,true,false
11,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8691510,105.8321758,-1331.477630,-11992.261644,1,1.20,60,60,2700,18114.600,16484.500,True,7.756,reality.1000.1,450,true,false
12,Delícia Coffee & Lounge,C,Cửa hàng đồ uống,Thanh Xuân,20.9751840,105.8119491,-3431.522747,-201.929987,1,1.73,60,60,3600,5754.500,4883.700,True,12.002,reality.1000.1,968,true,false
13,Trường Đại học Kinh tế - Kỹ thuật Công nghiệp (cơ sở 218 Lĩnh Nam) [NE],NE,Trường học,Hoàng Mai,21.0820344,106.0026109,16364.013944,11679.292403,1,0.33,60,60,3600,26437.100,28051.500,True,3.341,reality.1000.1,173,true,false
14,Không có tên,,public_transport:platform,,21.1592399,106.1157588,28143.259652,20286.945668,1,1.59,60,60,2700,47343.819,47343.819,true,,openstreetmap_25_40_ring,node:4755947784,true,true
15,Trường Tiểu học Chu Văn An [NE],NE,Trường học,Hoàng Mai,21.0551766,105.9685163,12824.128633,8692.841302,1,0.62,60,60,2700,19316.000,21215.800,True,1.897,reality.1000.1,159,true,false
16,Thuế cơ sở 4 thành phố Hà Nội [NW],NW,Uỷ ban nhân dân,Thanh Xuân,21.1163232,105.7169594,-13293.865867,15492.033004,1,0.73,60,60,3600,26263.200,26093.200,True,64.776,reality.1000.1,869,true,false
17,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8799661,105.7103253,-13982.653920,-10789.677393,1,1.58,60,60,2700,25730.500,25720.700,True,62.986,reality.1000.1,600,true,false
18,Cục Sở hữu Trí tuệ,C,Uỷ ban nhân dân,Thanh Xuân,20.9938917,105.8054733,-4103.875239,1878.271342,1,0.28,60,60,3600,7685.700,8079.400,True,46.461,reality.1000.1,989,true,false
19,Nhà văn hóa thôn Văn Phú,,amenity:community_centre,,20.8486030,105.6300451,-22342.880690,-14293.154040,1,0.55,60,60,3600,36195.387,36195.387,true,,openstreetmap_25_40_ring,node:7187541619,true,true
20,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.1113303,105.8043318,-4222.391928,14936.847855,1,1.03,60,60,1800,23352.500,22705.200,True,60.827,reality.1000.1,115,true,false
21,Trường Cao đẳng Hà Nội [E],E,Trường học,Hoàng Mai,20.9419270,105.9483243,10727.686257,-3899.939662,1,1.87,60,60,2700,18731.400,20319.300,True,60.671,reality.1000.1,317,true,false
22,Siêu thị Đức Thành [W],W,Siêu thị,Hoàng Mai,20.9772953,105.7478267,-10089.056253,32.835862,1,0.73,60,60,1800,16197.300,15867.100,True,30.151,reality.1000.1,662,true,false
23,Hội đồng nhân dân - Ủy ban nhân dân phường Thanh Liệt [SE],SE,Uỷ ban nhân dân,Thanh Xuân,20.8659533,105.9328685,9122.981718,-12347.829661,1,1.24,60,60,1800,19360.500,19305.000,True,295.998,reality.1000.1,380,true,false
24,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0961035,105.8534394,876.224038,13243.704946,1,1.16,60,60,2700,19440.900,20200.700,True,59.081,reality.1000.1,20,true,false
25,WinMart+ [S],S,Siêu thị,Hoàng Mai,20.8628525,105.9037910,6103.998796,-12692.622889,1,1.95,60,60,1800,16395.700,16340.200,True,5.213,reality.1000.1,512,true,false
26,WinMart+ [NW],NW,Siêu thị,Thanh Xuân,21.0843585,105.7287279,-12071.996706,11937.720532,1,0.42,60,60,2700,21221.400,21070.900,True,62.893,reality.1000.1,789,true,false
27,Trường Tiểu học Chu Văn An [N],N,Trường học,Hoàng Mai,21.0551766,105.8527347,803.058282,8692.841302,1,0.64,60,60,3600,13535.500,11874.300,True,66.775,reality.1000.1,39,true,false
28,UBND phường Khương Thượng,C,Uỷ ban nhân dân,Thanh Xuân,21.0022527,105.8256270,-2011.409377,2807.972124,1,0.79,60,60,2700,5028.900,6355.300,True,21.139,reality.1000.1,951,true,false
29,Petrolimex,,amenity:fuel,,20.7097474,105.7668237,-8125.814967,-29750.559432,1,1.06,60,60,2700,42086.260,42086.260,true,,openstreetmap_25_40_ring,node:2649232865,true,true
30,Khách Sạn Dragon Hotel Airport,,tourism:hotel,,21.2189546,105.7833584,-6407.162220,26934.386072,1,0.81,60,60,1800,37781.687,37781.687,true,,openstreetmap_25_40_ring,node:4924408244,true,true
31,Siêu thị B11 Kim Liên [W],W,Siêu thị,Thanh Xuân,21.0014919,105.7305874,-11878.933384,2723.375024,1,1.20,60,60,2700,18303.900,17058.600,True,20.819,reality.1000.1,717,true,false
32,Cà Phê Freddo,,amenity:cafe,,20.9097553,105.5755539,-28006.814754,-7485.680004,1,0.94,60,60,2700,39561.163,39561.163,true,,openstreetmap_25_40_ring,node:7055939353,true,true
33,Trường Mầm non Hoàng Liệt (cơ sở Tứ Kỳ) [NW],NW,Trường học,Hoàng Mai,21.0621079,105.7345616,-11466.310500,9463.566697,1,1.09,60,60,2700,18614.200,18444.200,True,3.94,reality.1000.1,799,true,false
34,cửa hàng giải khát hoa ban,,shop:convenience,,20.9228933,106.1544065,32160.385803,-6023.157844,1,1.49,60,60,3600,44650.766,44650.766,true,,openstreetmap_25_40_ring,node:4808859822,true,true
35,Cà Phê KOK [NW],NW,Cửa hàng đồ uống,Thanh Xuân,21.0859680,105.7110438,-13908.055374,12116.688767,1,0.82,60,60,1800,22634.300,22150.500,True,6.512,reality.1000.1,829,true,false
36,Trường Tiểu học Chu Văn An,C,Trường học,Hoàng Mai,20.9531263,105.8414957,-363.835332,-2654.634320,1,0.52,60,60,3600,3271.400,4042.800,True,41.499,reality.1000.1,916,true,false
37,WinMart+ [W],W,Siêu thị,Thanh Xuân,20.9939432,105.7001079,-15043.479510,1883.997881,1,1.36,60,60,3600,21377.200,20495.900,True,110.18,reality.1000.1,753,true,false
38,Trường Đại học Công nghệ và Quản lý Hữu Nghị [SW],SW,Trường học,Hoàng Mai,20.8686382,105.7608077,-8741.298801,-12049.282402,1,1.85,60,60,1800,22253.500,22038.500,True,16.097,reality.1000.1,563,true,false
39,Trường Mầm non Tứ Hiệp (điểm Đồng Trì) [NE],NE,Trường học,Hoàng Mai,21.0427644,105.9887950,14929.572670,7312.667634,1,1.03,60,60,3600,22132.300,24032.100,True,21.552,reality.1000.1,205,true,false
40,Trung tâm Công nghệ Phần mềm Thủy lợi [SW],SW,Uỷ ban nhân dân,Thanh Xuân,20.8947190,105.7206773,-12907.853431,-9149.229759,1,1.29,60,60,3600,23124.300,23105.200,True,13.323,reality.1000.1,612,true,false
41,Đình Văn Phú,,amenity:place_of_worship,,20.8487860,105.6297044,-22378.293791,-14272.782480,1,1.74,60,60,1800,36221.149,36221.149,true,,openstreetmap_25_40_ring,node:7187541618,true,true
42,WinMart+,C,Siêu thị,Thanh Xuân,20.9904183,105.8176043,-2844.369373,1492.046884,1,0.25,60,60,1800,5487.000,6622.300,True,6.379,reality.1000.1,962,true,false
43,Lanh Phấn,,shop:electronics,,20.8358248,106.0982623,26324.635318,-15715.623264,1,1.25,60,60,2700,41838.680,41838.680,true,,openstreetmap_25_40_ring,node:5102282621,true,true
44,Chùa Khai Nghiêm,,amenity:place_of_worship,,21.2281596,105.9476075,10665.247131,27959.086672,1,1.20,60,60,1800,40836.097,40836.097,true,,openstreetmap_25_40_ring,node:5618029543,true,true
45,WinMart+ [S],S,Siêu thị,Thanh Xuân,20.8951141,105.8043318,-4222.391928,-9105.296644,1,1.76,60,60,2700,17048.900,16932.000,True,25.09,reality.1000.1,532,true,false
46,Bến đò Vân Hà,,amenity:ferry_terminal,,21.2021473,106.0418200,20457.899669,25063.397436,1,1.03,60,60,2700,44150.196,44150.196,true,,openstreetmap_25_40_ring,node:3558149194,true,true
47,Chợ Xanh Văn Quán [SW],SW,Chợ dân sinh,Thanh Xuân,20.8601030,105.6869028,-16414.504234,-12998.353340,1,1.22,60,60,2700,27954.800,27945.000,True,276.165,reality.1000.1,639,true,false
48,WinMart+ [SE],SE,Siêu thị,Thanh Xuân,20.8825988,105.9211667,7908.037711,-10496.934509,1,1.79,60,60,2700,19554.400,27067.500,True,237.16,reality.1000.1,402,true,false
49,Trường Mầm non Văn Đức (điểm Chử Xá) [NE],NE,Trường học,Hoàng Mai,21.0418534,106.0300270,19210.501355,7211.369056,1,0.64,60,60,3600,25000.600,27295.700,True,43.608,reality.1000.1,239,true,false
50,WinMart+ [SW],SW,Siêu thị,Thanh Xuân,20.8821219,105.7222401,-12745.595104,-10549.963370,1,1.12,60,60,2700,24867.300,24848.200,True,6.829,reality.1000.1,581,true,false
51,Noble Moment [NE],NE,Cửa hàng đồ uống,Thanh Xuân,21.1119743,105.9299800,8823.082064,15008.457387,1,0.88,60,60,2700,21909.000,23118.600,True,26.742,reality.1000.1,227,true,false
52,Trường Tiểu học Đại Kim [E],E,Trường học,Hoàng Mai,20.9719957,105.9489450,10792.130680,-556.452771,1,0.68,60,60,2700,16975.600,19407.500,True,41.092,reality.1000.1,273,true,false
53,Trường Tiểu học Tam Hiệp [N],N,Trường học,Hoàng Mai,21.0521912,105.8420852,-302.630261,8360.879968,1,0.64,60,60,1800,11475.800,9814.600,True,31.2,reality.1000.1,56,true,false
54,Trường Mầm non Tứ Hiệp (điểm Đồng Trì) [N],N,Trường học,Hoàng Mai,21.0427644,105.8730134,2908.502319,7312.667634,1,0.96,60,60,3600,11093.900,12763.500,True,23.716,reality.1000.1,84,true,false
55,Trường Tiểu học Hoàng Liệt [W],W,Trường học,Hoàng Mai,20.9605009,105.7340794,-11516.375105,-1834.616214,1,1.97,60,60,1800,17348.500,16856.400,True,20.891,reality.1000.1,666,true,false
56,Trung Tâm đào tạo sát hạch lái xe,,amenity:driving_school,,21.1701299,105.8354595,-991.660359,21499.220468,1,1.82,60,60,2700,29370.127,29370.127,true,,openstreetmap_25_40_ring,node:7728081185,true,true
57,Quan an Nam Nhu 1,C,Cửa hàng ăn uống,Hoàng Mai,20.9746280,105.8820971,3851.621060,-263.754366,1,1.23,60,60,3600,6051.100,6808.800,True,8.007,reality.1000.1,969,true,false
58,WinMart+ [N],N,Siêu thị,Thanh Xuân,21.0983381,105.8380217,-724.524754,13492.181129,1,0.76,60,60,2700,23696.500,23335.200,True,74.206,reality.1000.1,43,true,false
59,Phở Minh - Phở Gánh Hà Nội Xưa,,amenity:restaurant,,21.2618798,105.8504705,568.615690,31712.819336,1,0.69,60,60,3600,43283.888,43283.888,true,,openstreetmap_25_40_ring,node:6742138884,true,true
60,trạm xăng,,amenity:fuel,,20.9100350,105.6080560,-24628.475658,-7454.543800,1,1.50,60,60,2700,35115.100,35115.100,true,,openstreetmap_25_40_ring,node:446044253,true,true
61,Tịnh Cafe [E],E,Cửa hàng đồ uống,Thanh Xuân,20.9974296,105.9377392,9628.684069,2271.667873,1,1.73,60,60,3600,14570.000,16215.200,True,75.804,reality.1000.1,333,true,false
62,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9562867,105.9915031,15210.742222,-2303.213874,1,1.20,60,60,2700,23347.000,26235.100,True,4.277,reality.1000.1,279,true,false
63,WinMart+,C,Siêu thị,Hoàng Mai,20.9670017,105.8704372,2641.027337,-1111.760235,1,1.37,60,60,2700,5370.100,4921.000,True,3.717,reality.1000.1,959,true,false
64,WinMart+ [E],E,Siêu thị,Hoàng Mai,20.9759899,105.9975887,15842.582045,-112.317995,1,1.70,60,60,2700,21493.000,23859.300,True,5.45,reality.1000.1,283,true,false
65,Đạt Thê,,shop:electronics,,20.8374959,106.0610127,22452.830727,-15529.596412,1,0.67,60,60,1800,37255.173,37255.173,true,,openstreetmap_25_40_ring,node:4780444726,true,true
