trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
-3913.303727	11579.661749	1	1.01	60	60	2700
-3197.988286	15008.457387	1	1.53	60	60	2700
-16414.504234	11043.791158	1	0.81	60	60	3600
-1778.798962	-1511.383682	1	1.80	60	60	2700
3189.671872	-14324.286123	1	1.14	60	60	3600
-8213.149399	10235.715387	1	1.58	60	60	1800
-13408.997848	14180.121901	1	0.40	60	60	3600
13233.667903	1985.029591	1	1.25	60	60	3600
-1045.449050	-7783.322400	1	1.28	60	60	3600
-8665.724296	10515.192716	1	0.89	60	60	2700
-13114.808591	428.767637	1	0.83	60	60	2700
11289.880006	185.006119	1	1.96	60	60	3600
13233.667903	14006.101841	1	1.30	60	60	1800
-12103.736130	-14009.270896	1	0.67	60	60	3600
23111.512316	23118.002512	1	0.85	60	60	3600
-8213.149399	-1785.356862	1	0.85	60	60	3600
17593.419523	16990.215000	1	1.25	60	60	2700
2138.387835	-16799.818775	1	1.50	60	60	1800
-11466.310500	-14578.577801	1	1.89	60	60	1800
-20953.922141	20647.522280	1	1.34	60	60	3600
-10089.056253	32.835862	1	0.73	60	60	2700
-14060.678704	13924.762752	1	1.52	60	60	2700
-11490.969031	12208.580254	1	0.29	60	60	2700
-14188.550061	12556.064400	1	1.31	60	60	1800
-5917.071555	11349.521609	1	0.34	60	60	2700
-14919.158982	-326.757411	1	1.81	60	60	2700
12164.982730	-3348.568499	1	0.66	60	60	1800
-5917.071555	-671.550640	1	0.85	60	60	1800
7908.037711	13545.209989	1	0.52	60	60	2700
23449.490705	22294.980356	1	1.71	60	60	2700
-4952.710138	-11561.214511	1	1.65	60	60	3600
7242.091245	-608.881179	1	0.80	60	60	1800
8998.661190	13905.070130	1	0.56	60	60	3600
-1024.756648	3396.971651	1	0.63	60	60	1800
-1122.871647	8432.800847	1	1.60	60	60	1800
11674.688067	-9031.674483	1	1.12	60	60	2700
14177.554951	-4243.142803	1	1.52	60	60	1800
-5279.763770	20427.053020	1	1.33	60	60	2700
-8148.318449	-16731.373736	1	0.70	60	60	3600
22808.001153	23609.925592	1	1.42	60	60	1800
15914.668017	-4501.748844	1	1.59	60	60	2700
9546.495886	12008.974241	1	0.89	60	60	1800
-11425.808213	2356.620797	1	0.71	60	60	1800
12163.207316	14744.447273	1	1.02	60	60	3600
-12323.700611	8360.879968	1	0.91	60	60	3600
-21315.027665	4748.443656	1	1.88	60	60	3600
-11185.846960	3491.576294	1	1.47	60	60	1800
14527.259647	12304.419161	1	1.25	60	60	2700
-15564.049658	-10130.647301	1	0.56	60	60	1800
897.560157	7691.686661	1	1.11	60	60	1800
-889.399481	154.216244	1	1.55	60	60	1800
15689.749698	-22925.830796	1	0.90	60	60	3600
-2917.722015	14503.232119	1	1.57	60	60	3600
-1095.295622	2888.488370	1	1.94	60	60	1800
-14689.123437	674.830890	1	1.60	60	60	3600
1899.630957	8641.447007	1	1.54	60	60	2700
12799.833490	11021.507695	1	1.92	60	60	2700
-3206.501968	2577.287129	1	1.42	60	60	2700
8107.766623	11579.661749	1	1.50	60	60	3600
-4831.639345	7211.369056	1	1.69	60	60	3600
-11144.846312	-10798.439553	1	1.39	60	60	3600
-13314.454443	-3899.939662	1	0.26	60	60	3600
-13134.940335	-2109.734702	1	1.53	60	60	2700
13266.518258	2496.448418	1	1.21	60	60	2700
17923.103327	-17716.622528	1	1.66	60	60	1800
-11382.076957	12768.368873	1	0.47	60	60	1800
-16134.102989	-10496.934509	1	0.94	60	60	3600
22550.297309	21883.886728	1	1.15	60	60	3600
-14120.836054	-18931.513348	1	1.87	60	60	2700
4281.032511	10529.792610	1	1.85	60	60	1800
-12241.906965	13177.332694	1	1.67	60	60	3600
4388.782506	-11734.133741	1	1.46	60	60	3600
17021.457110	-62.091247	1	1.89	60	60	3600
-20905.079711	5314.628308	1	1.70	60	60	2700
-13408.997848	-9862.022598	1	0.92	60	60	2700
12551.171669	187.508005	1	1.09	60	60	2700
778.763140	11021.507695	1	1.87	60	60	2700
-10907.241895	-14619.308503	1	0.36	60	60	2700
-5038.698331	-8815.845130	1	0.54	60	60	1800
-2936.981625	-10816.397533	1	1.01	60	60	2700
-10417.040676	-12377.474228	1	0.46	60	60	2700
-10739.740386	7342.679145	1	0.58	60	60	1800
-6919.732288	23191.529372	1	0.74	60	60	1800
1245.447908	-9524.623832	1	0.20	60	60	1800
22253.999733	21779.813660	1	0.70	60	60	3600
5000.386760	11958.981002	1	1.23	60	60	3600
-22391.567207	-14200.135048	1	1.91	60	60	1800
20205.247414	23955.863624	1	0.77	60	60	1800
-10839.070141	572.420363	1	1.73	60	60	2700
-3913.303727	-12462.482749	1	1.77	60	60	1800
-12632.975698	-14206.052558	1	0.84	60	60	1800
-14614.343125	16294.865752	1	1.89	60	60	3600
-22717.072535	7578.843712	1	0.74	60	60	2700
10059.486780	-10789.677393	1	1.36	60	60	3600
-1231.057708	13532.989667	1	1.69	60	60	3600
19134.778095	-2261.376744	1	1.48	60	60	3600
-10533.750802	-15012.037864	1	0.69	60	60	1800
595.262137	14377.693047	1	0.82	60	60	1800
9425.383563	3152.309453	1	1.88	60	60	1800
-156.890554	12429.913755	1	1.71	60	60	3600
787.122939	19046.551436	1	1.35	60	60	2700
-3654.222427	16467.255904	1	1.92	60	60	2700
2022.778257	-1629.617247	1	0.45	60	60	3600
1487.319548	-15012.037864	1	1.95	60	60	2700
-14938.792365	14503.232119	1	0.31	60	60	3600
-14120.420285	-18974.037588	1	0.95	60	60	2700
22318.454278	20764.296960	1	1.35	60	60	2700
-16134.102989	13545.209989	1	0.50	60	60	2700
-20791.231842	-18109.994012	1	1.17	60	60	1800
12270.105943	-1305.795382	1	0.54	60	60	3600
20199.249950	23958.479644	1	0.59	60	60	2700
8860.831692	21569.318672	1	0.55	60	60	1800
22213.815687	22397.773244	1	0.96	60	60	2700
11718.440089	8360.879968	1	1.03	60	60	1800
7242.091245	-12629.953429	1	1.40	60	60	2700
-4182.367238	4201.011046	1	1.87	60	60	3600
5018.514674	-12958.423242	1	1.13	60	60	2700
-11516.375105	-1834.616214	1	1.97	60	60	2700
-12177.960905	408.841506	1	0.66	60	60	3600
23863.097423	22251.743668	1	0.66	60	60	2700
1182.000209	-11448.651886	1	1.85	60	60	2700
22656.495033	22187.333916	1	0.54	60	60	1800
10082.411428	2615.582662	1	0.40	60	60	1800
11134.287269	-9149.229759	1	1.42	60	60	1800
-10397.344998	-894.162883	1	1.18	60	60	1800
-11772.034758	10715.276867	1	1.14	60	60	1800
-14919.158982	-12347.829661	1	1.28	60	60	3600
