trucks_count 10
drones_count 10
customers 500
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
15100.780746	544.588273	1	1.11	60	60	2700
-2917.722015	14503.232119	1	1.57	60	60	3600
8998.661190	1883.997881	1	0.76	60	60	2700
277.494133	-12540.452632	1	1.19	60	60	2700
835.223390	-8529.495955	1	1.11	60	60	2700
-9514.881054	12304.419161	1	1.37	60	60	2700
-7632.287845	12308.010757	1	1.16	60	60	1800
897.560157	-16350.457838	1	0.75	60	60	1800
-527.900221	1420.893251	1	0.67	60	60	1800
-1886.985023	-11925.455732	1	0.60	60	60	1800
14929.572670	7312.667634	1	1.03	60	60	3600
3893.597667	7519.323405	1	1.04	60	60	1800
9853.590640	12556.064400	1	0.75	60	60	1800
-7020.683590	-12083.163496	1	0.64	60	60	1800
12270.105943	10715.276867	1	1.87	60	60	2700
-10417.040676	-12377.474228	1	0.46	60	60	2700
-844.515763	14155.447747	1	0.26	60	60	1800
15842.582045	11908.754254	1	0.67	60	60	1800
-12177.960905	-11612.230743	1	0.72	60	60	1800
-4364.881900	3660.981765	1	1.32	60	60	3600
-388.130474	-325.967927	1	1.19	60	60	2700
1441.885555	15001.485465	1	1.56	60	60	2700
4808.943114	10425.714159	1	1.40	60	60	1800
-1387.730229	1829.857071	1	0.28	60	60	3600
-11242.307210	11021.507695	1	0.79	60	60	2700
-13882.182085	11582.019081	1	1.24	60	60	2700
6103.998796	-12692.622889	1	1.95	60	60	2700
-13882.182085	-12460.125417	1	1.96	60	60	1800
8442.821555	-8666.532583	1	0.76	60	60	3600
-12217.466467	-14810.385865	1	1.53	60	60	3600
4808.943114	-13616.430340	1	0.41	60	60	2700
1932.014097	-11988.236387	1	0.57	60	60	3600
7242.091245	11412.191070	1	0.98	60	60	3600
-10417.040676	11664.670270	1	0.28	60	60	1800
-13908.055374	12116.688767	1	0.82	60	60	2700
4275.654355	1048.178976	1	0.29	60	60	2700
-3015.473624	-8493.657830	1	1.59	60	60	2700
8642.052106	12649.156792	1	1.36	60	60	2700
-2167.479710	-11486.080099	1	1.96	60	60	3600
11134.287269	14892.914739	1	1.83	60	60	3600
10741.318532	-1181.646246	1	0.49	60	60	1800
-13250.010020	11464.619478	1	0.39	60	60	3600
-15043.479510	1883.997881	1	1.36	60	60	2700
-11772.034758	10715.276867	1	1.14	60	60	1800
-10739.740386	-4678.393105	1	0.67	60	60	1800
10082.411428	2615.582662	1	0.40	60	60	2700
-1762.851381	13508.070884	1	1.73	60	60	2700
10159.958615	11582.019081	1	1.44	60	60	1800
7068.360212	-11561.214511	1	0.54	60	60	2700
-841.587887	3863.401009	1	0.73	60	60	3600
7517.882642	15429.374663	1	1.69	60	60	3600
10907.200365	9911.337547	1	1.23	60	60	2700
10727.686257	-3899.939662	1	1.87	60	60	2700
11718.440089	8360.879968	1	1.03	60	60	3600
10792.130680	-556.452771	1	0.68	60	60	2700
12551.171669	187.508005	1	1.09	60	60	3600
3079.710396	-11476.483976	1	0.68	60	60	3600
-16544.462480	12792.398097	1	1.41	60	60	3600
3279.771549	-12049.282402	1	0.51	60	60	1800
-50.926356	-12104.423966	1	1.51	60	60	1800
-12919.513023	-639.148438	1	0.71	60	60	1800
-11123.510193	7691.686661	1	0.26	60	60	3600
-10960.867712	12002.391502	1	0.25	60	60	3600
-10808.472797	-10036.042658	1	1.32	60	60	3600
12897.294388	1222.632696	1	1.90	60	60	2700
11176.554587	-9886.696752	1	1.67	60	60	2700
-15400.088595	-11392.987706	1	1.49	60	60	3600
-7020.683590	-62.091247	1	0.93	60	60	3600
-302.630261	-15681.264530	1	1.75	60	60	2700
-15545.547973	-11926.634398	1	1.83	60	60	1800
-16973.780489	12480.929988	1	0.39	60	60	1800
-10089.056253	12053.908111	1	1.12	60	60	2700
554.759850	9463.566697	1	1.49	60	60	2700
-1095.295622	2888.488370	1	1.94	60	60	3600
10343.594591	818.450258	1	1.43	60	60	1800
-12241.906965	-10864.811804	1	0.98	60	60	1800
-13431.424133	14813.087901	1	0.57	60	60	3600
18742.529152	7569.316644	1	0.56	60	60	3600
16302.102861	10529.792610	1	0.91	60	60	1800
-7740.037839	-13512.351888	1	1.97	60	60	3600
6103.998796	11349.521609	1	1.36	60	60	3600
15376.416404	10515.192716	1	1.62	60	60	3600
11463.725247	-407.162463	1	0.76	60	60	3600
11938.404571	10032.873602	1	0.39	60	60	2700
-10907.241895	9422.835996	1	1.54	60	60	3600
12270.105943	-1305.795382	1	0.54	60	60	1800
