trucks_count 2
drones_count 2
customers 100
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
X	Y	Dronable	Demand	Drone_service	Truck_service	Lw
2100.638007	2158.835993	1	2.67	60	60	1800
9955.027265	-4113.155708	1	4.80	60	60	3600
-8656.361895	3890.049452	0	8.81	60	60	3600
962.532268	612.332947	1	1.32	60	60	1800
6378.249326	3952.703272	1	3.47	60	60	3600
7027.081497	7015.458573	1	1.12	60	60	3600
2510.236418	5390.511351	1	3.45	60	60	2700
5546.159987	-7287.302340	0	5.99	60	60	3600
9765.303458	-2847.050292	1	4.31	60	60	3600
-9104.680435	-8856.739968	1	2.15	60	60	3600
-8225.902318	2843.474489	1	1.24	60	60	3600
9633.318345	9123.029991	1	2.82	60	60	3600
-6922.385463	956.990624	0	6.30	60	60	2700
-2953.565280	6256.371011	0	5.52	60	60	2700
7579.384779	441.331425	1	2.42	60	60	3600
5339.674918	-3549.176613	0	6.83	60	60	2700
2159.926826	-7037.761062	1	3.68	60	60	3600
2178.346035	1025.201341	0	5.39	60	60	1800
6031.638363	-3006.035766	1	3.41	60	60	2700
1450.925274	9247.304325	1	4.65	60	60	3600
-2293.423016	2939.273375	0	6.22	60	60	1800
-6558.708887	-8828.567904	1	2.81	60	60	3600
3895.883861	348.600634	1	4.51	60	60	1800
6687.654318	-5436.051176	0	8.18	60	60	3600
-3577.054093	-5526.665277	1	4.28	60	60	2700
-6304.168665	-4837.350147	1	3.81	60	60	3600
8288.851690	-1083.253410	1	1.67	60	60	3600
-817.166210	-7382.562524	1	2.00	60	60	3600
4256.236047	9403.551865	1	2.24	60	60	3600
-2994.032682	9533.555553	1	3.01	60	60	3600
-3829.018129	8298.278804	0	8.43	60	60	3600
9768.658275	3209.592606	0	5.77	60	60	3600
3082.515245	8834.150633	1	2.93	60	60	3600
9851.025244	2562.639034	0	6.95	60	60	3600
8481.586282	1666.013853	1	3.23	60	60	3600
3055.285211	-3061.864505	1	4.70	60	60	2700
-2809.452249	1908.398051	1	3.61	60	60	1800
-5723.689546	-5417.668206	1	4.49	60	60	3600
6906.941632	-5921.187340	1	1.93	60	60	3600
-4971.909504	3525.053619	0	7.28	60	60	2700
-2554.680973	6992.050727	1	1.55	60	60	3600
5442.327218	-9140.141424	1	4.62	60	60	3600
-7798.448491	-3090.230867	1	0.55	60	60	3600
608.419617	6570.559750	1	1.87	60	60	2700
-7753.115803	-7778.824413	1	2.72	60	60	3600
-203.438380	2642.551745	1	1.47	60	60	1800
-1339.073047	-242.616732	1	2.23	60	60	1800
9026.487302	-7637.461576	1	1.09	60	60	3600
-8347.738814	9635.080399	1	3.69	60	60	3600
-43.019940	-6786.380159	1	0.54	60	60	2700
9844.915790	-920.572351	1	1.39	60	60	3600
3123.142361	7000.287776	1	3.92	60	60	3600
-2976.000227	4225.070294	0	6.50	60	60	2700
3258.154735	-6974.300225	1	2.35	60	60	3600
-2762.385416	-8106.832627	0	6.97	60	60	3600
-7521.187911	3976.143157	1	1.21	60	60	3600
-7230.168570	-1039.756449	1	1.81	60	60	3600
-4999.874917	2894.422989	1	4.58	60	60	2700
-6134.623644	5962.808137	1	0.54	60	60	3600
-6474.089765	-9343.240960	1	4.27	60	60	3600
-6103.667989	-3871.891940	0	7.58	60	60	3600
8330.957522	4063.232508	1	2.05	60	60	3600
-7027.593308	8348.443381	1	3.44	60	60	3600
8890.431758	2024.602590	1	1.50	60	60	3600
9257.485236	-5721.209841	1	3.81	60	60	3600
-9437.392055	-4545.870274	1	1.68	60	60	3600
-8202.782520	7109.249960	1	1.06	60	60	3600
-8119.461990	-2494.346577	1	1.77	60	60	3600
1738.213479	-8603.192587	1	1.15	60	60	3600
8133.033113	9788.026651	0	8.91	60	60	3600
-701.033896	-4080.168734	1	2.33	60	60	2700
-6256.918553	825.856341	0	8.63	60	60	2700
4757.777507	9140.969416	1	1.17	60	60	3600
-4646.176487	9173.678912	1	3.48	60	60	3600
749.433361	-637.629356	1	3.82	60	60	1800
-2041.457781	-5546.884661	1	2.12	60	60	2700
-4614.931369	-1100.850918	0	5.61	60	60	2700
4643.554286	550.597668	1	1.43	60	60	2700
1573.843614	9737.013136	1	1.56	60	60	3600
-4675.317928	-3208.412916	1	3.42	60	60	2700
-7266.524046	2527.877261	1	2.91	60	60	3600
-9873.196319	2931.301362	1	4.35	60	60	3600
6254.137542	-2098.375925	1	1.81	60	60	2700
3866.123249	8002.194936	1	2.78	60	60	3600
-2815.386292	5696.351580	1	4.65	60	60	2700
5414.617784	6592.477924	1	3.52	60	60	3600
-6938.735957	-5186.122289	1	3.57	60	60	3600
2761.748040	-332.459627	1	3.75	60	60	1800
-3060.050421	-6072.112094	1	1.73	60	60	2700
-2293.987370	-9343.511307	1	4.08	60	60	3600
-6352.849390	-515.979674	1	3.88	60	60	2700
-9285.637718	2211.206471	1	0.62	60	60	3600
-439.069125	-1475.528605	1	4.47	60	60	1800
-8680.222574	8969.136338	1	1.50	60	60	3600
-1485.102336	-3941.103604	0	5.18	60	60	2700
3171.976736	1894.616671	1	2.19	60	60	1800
-8098.706018	-3558.602560	0	5.43	60	60	3600
6002.044463	-9008.542501	1	4.72	60	60	3600
-9426.526626	-3793.868484	1	3.22	60	60	3600
-5860.972356	9037.640079	1	2.43	60	60	3600
