# i j l theta_ijl interval road_class
0 1 0 0.65 07:00-07:30 urban
0 1 1 0.50 07:30-08:00 urban
0 1 2 0.40 08:00-08:30 urban
0 1 3 0.45 08:30-09:00 urban
0 1 4 0.60 09:00-09:30 urban
0 1 5 0.70 09:30-10:00 urban
0 1 6 0.80 10:00-10:30 urban
0 1 7 0.85 10:30-11:00 urban
0 1 8 0.80 11:00-11:30 urban
0 1 9 0.70 11:30-12:00 urban
0 2 0 0.65 07:00-07:30 urban
0 2 1 0.50 07:30-08:00 urban
0 2 2 0.40 08:00-08:30 urban
0 2 3 0.45 08:30-09:00 urban
0 2 4 0.60 09:00-09:30 urban
0 2 5 0.70 09:30-10:00 urban
0 2 6 0.80 10:00-10:30 urban
0 2 7 0.85 10:30-11:00 urban
0 2 8 0.80 11:00-11:30 urban
0 2 9 0.70 11:30-12:00 urban
0 3 0 0.65 07:00-07:30 urban
0 3 1 0.50 07:30-08:00 urban
0 3 2 0.40 08:00-08:30 urban
0 3 3 0.45 08:30-09:00 urban
0 3 4 0.60 09:00-09:30 urban
0 3 5 0.70 09:30-10:00 urban
0 3 6 0.80 10:00-10:30 urban
0 3 7 0.85 10:30-11:00 urban
0 3 8 0.80 11:00-11:30 urban
0 3 9 0.70 11:30-12:00 urban
0 4 0 0.65 07:00-07:30 urban
0 4 1 0.50 07:30-08:00 urban
0 4 2 0.40 08:00-08:30 urban
0 4 3 0.45 08:30-09:00 urban
0 4 4 0.60 09:00-09:30 urban
0 4 5 0.70 09:30-10:00 urban
0 4 6 0.80 10:00-10:30 urban
0 4 7 0.85 10:30-11:00 urban
0 4 8 0.80 11:00-11:30 urban
0 4 9 0.70 11:30-12:00 urban
0 5 0 0.72 07:00-07:30 suburban
0 5 1 0.60 07:30-08:00 suburban
0 5 2 0.50 08:00-08:30 suburban
0 5 3 0.55 08:30-09:00 suburban
0 5 4 0.68 09:00-09:30 suburban
0 5 5 0.78 09:30-10:00 suburban
0 5 6 0.86 10:00-10:30 suburban
0 5 7 0.90 10:30-11:00 suburban
0 5 8 0.86 11:00-11:30 suburban
0 5 9 0.78 11:30-12:00 suburban
0 6 0 0.72 07:00-07:30 suburban
0 6 1 0.60 07:30-08:00 suburban
0 6 2 0.50 08:00-08:30 suburban
0 6 3 0.55 08:30-09:00 suburban
0 6 4 0.68 09:00-09:30 suburban
0 6 5 0.78 09:30-10:00 suburban
0 6 6 0.86 10:00-10:30 suburban
0 6 7 0.90 10:30-11:00 suburban
0 6 8 0.86 11:00-11:30 suburban
0 6 9 0.78 11:30-12:00 suburban
0 7 0 0.72 07:00-07:30 suburban
0 7 1 0.60 07:30-08:00 suburban
0 7 2 0.50 08:00-08:30 suburban
0 7 3 0.55 08:30-09:00 suburban
0 7 4 0.68 09:00-09:30 suburban
0 7 5 0.78 09:30-10:00 suburban
0 7 6 0.86 10:00-10:30 suburban
0 7 7 0.90 10:30-11:00 suburban
0 7 8 0.86 11:00-11:30 suburban
0 7 9 0.78 11:30-12:00 suburban
0 8 0 0.65 07:00-07:30 urban
0 8 1 0.50 07:30-08:00 urban
