id x_km y_km x_m y_m dronable demand_kg drone_service_sec truck_service_sec deadline_sec
1 8.914278 3.753201 8914.278190 3753.201433 1 1.74 60 60 3600
2 1.774249 -8.837215 1774.249473 -8837.215113 1 3.28 60 60 2700
3 -3.304045 0.963619 -3304.045427 963.618521 1 4.01 60 60 1800
4 -4.466781 -4.598712 -4466.781157 -4598.712494 0 7.27 60 60 1800
5 -8.360374 4.311933 -8360.373981 4311.932673 0 9.83 60 60 3600
6 -4.053700 6.728113 -4053.700412 6728.112905 0 7.23 60 60 2700
7 -4.062091 -4.091866 -4062.090754 -4091.865802 1 1.34 60 60 1800
8 9.445232 8.267899 9445.231508 8267.898940 1 3.66 60 60 3600
9 -1.776380 -3.432810 -1776.379799 -3432.809982 1 4.03 60 60 1800
10 -4.976396 -6.453574 -4976.395706 -6453.573874 1 2.87 60 60 2700
11 6.364844 6.303474 6364.843951 6303.473644 1 1.32 60 60 2700
12 0.183093 -8.370803 183.092679 -8370.802788 1 2.44 60 60 2700
13 -3.614565 5.359287 -3614.565220 5359.287141 1 1.73 60 60 2700
14 -1.221853 -6.212814 -1221.852677 -6212.814198 0 8.72 60 60 1800
15 0.694224 2.801252 694.223859 2801.252400 0 5.36 60 60 1800
16 3.317483 9.944633 3317.482713 9944.633366 1 1.43 60 60 3600
17 -0.901420 -2.849861 -901.419797 -2849.861238 1 1.42 60 60 1800
18 7.011911 6.866209 7011.911075 6866.209332 1 0.95 60 60 3600
19 2.985040 -7.898816 2985.040013 -7898.815673 1 1.13 60 60 2700
20 -4.110512 2.035819 -4110.511689 2035.818937 1 2.86 60 60 1800
21 -7.185816 9.334556 -7185.815646 9334.555951 0 6.82 60 60 3600
22 -6.583634 8.893546 -6583.634160 8893.545912 1 1.61 60 60 3600
23 -7.869054 9.133222 -7869.054077 9133.221659 1 1.75 60 60 3600
24 8.086791 1.140902 8086.790817 1140.902009 1 4.23 60 60 2700
25 4.850295 -8.997605 4850.294506 -8997.605473 1 1.24 60 60 3600
26 5.580662 9.439778 5580.662331 9439.777938 1 1.75 60 60 3600
27 -1.210975 -1.297228 -1210.974609 -1297.228199 1 3.36 60 60 1800
28 -8.005109 0.985508 -8005.109260 985.507804 0 5.79 60 60 2700
29 7.025787 2.541086 7025.787389 2541.086355 1 2.07 60 60 2700
30 5.295143 2.581586 5295.142586 2581.585940 1 0.64 60 60 1800
31 0.002988 -9.150666 2.987913 -9150.666328 1 1.46 60 60 3600
32 1.076689 -4.506056 1076.688616 -4506.055546 1 4.98 60 60 1800
33 5.373733 -4.429377 5373.733124 -4429.377120 1 3.14 60 60 2700
34 9.517789 1.297906 9517.789108 1297.906496 1 4.87 60 60 3600
35 -2.463837 -2.218674 -2463.837357 -2218.674272 1 3.84 60 60 1800
36 5.377772 -6.959489 5377.771559 -6959.489339 1 3.38 60 60 2700
37 -3.295720 -3.774867 -3295.720450 -3774.866614 1 1.30 60 60 1800
38 -8.476611 7.039738 -8476.610558 7039.737901 1 4.13 60 60 3600
39 -6.178436 -5.745764 -6178.436426 -5745.764085 1 2.44 60 60 2700
40 4.641462 7.829823 4641.461965 7829.822788 1 3.50 60 60 2700
41 -5.065629 0.712300 -5065.628703 712.300456 1 4.56 60 60 1800
42 -9.897194 5.763471 -9897.194136 5763.471353 0 9.62 60 60 3600
43 4.886308 1.006258 4886.308233 1006.258400 0 9.26 60 60 1800
44 -5.618729 -2.081151 -5618.729040 -2081.151393 1 4.08 60 60 1800
45 -0.438467 3.174023 -438.466640 3174.023173 1 2.44 60 60 1800
46 2.013394 7.886145 2013.393778 7886.144855 1 1.94 60 60 2700
47 4.774714 -4.938360 4774.713639 -4938.359980 0 7.40 60 60 2700
48 9.519490 -5.474413 9519.490469 -5474.413241 1 1.41 60 60 3600
49 7.337480 -3.278796 7337.479762 -3278.795882 1 0.78 60 60 2700
50 8.479234 -3.640101 8479.234350 -3640.101408 1 3.89 60 60 3600
